COUNTRY1,PROJ_TYPE,PHASE,PROJ_SIZE,CONTR_TYPE,GREENFIELD,PREFAB,CLIMATE,ELEVATION,CITY_SIZE,CITY_DIST,TERM_DIST,CLIENT_SIZE,CONTR_SIZE
ARGENTINA,O&G,GENERAL,0-2MM,LUMP SUM,0-10%,0-5%,AF,0-500m,<10k,0-10km,0-10km,<10MM,<10MM
BOLIVIA,WIND,PFS,2-20MM,REIMBURSABLE,10-50%,5-20%,AM,500-1500m,10k-50k,10-30km,10-30km,10-50MM,10-50MM
BRASIL,HYDRO,ENGINEERING,20-200MM,UNIT RATES,50-90%,20-50%,AW,1500m-2000m,50k-100k,30-50km,30-50km,50-200MM,50-200MM
CHILE,SOLAR,EARTHOWORKS,200-500MM,T&M,90-100%,50-80%,AS ,2000m-3000m,100k-300k,50-100km,50-100km,200-500MM,200-500MM
COLOMBIA,MINING,CIVILWORKS,500-1000MM,MIXT,,>80%,BSK,3000m-4000m,300k-600k,100-200km,100-200km,500-1000MM,500-1000MM
ECUADOR,TRANSPORT,MECHANICAL,>1000MM,,,,BWH,>4000m,600k-1MM,200-500km,200-500km,>1000MM,>1000MM
PANAMA,PORT,PIPING,,,,,BWK,,>1MM,>500km,>500km,,
PARAGUAY,TUNNEL,ELECTRICAL,,,,,BSH,,,,,,
PERU,REAL_STATE,INSTRUMENTATION,,,,,CSA,,,,,,
VENEZUELA,BIOFUEL,COMMISSIONING,,,,,CSB,,,,,,
,,,,,,,CSC,,,,,,
,,,,,,,CWA,,,,,,
,,,,,,,CWB,,,,,,
,,,,,,,CWC,,,,,,
,,,,,,,CFA,,,,,,
,,,,,,,CFB,,,,,,
,,,,,,,CFC,,,,,,
,,,,,,,DSA,,,,,,
,,,,,,,DSB,,,,,,
,,,,,,,DSC,,,,,,
,,,,,,,DSD,,,,,,
,,,,,,,DWA,,,,,,
,,,,,,,DWB,,,,,,
,,,,,,,DWC,,,,,,
,,,,,,,DWD,,,,,,
,,,,,,,DFA,,,,,,
,,,,,,,DFB,,,,,,
,,,,,,,DFC,,,,,,
,,,,,,,DFD,,,,,,
,,,,,,,ET,,,,,,
,,,,,,,EF,,,,,,
